epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,598.583,0.7788,0.56021,1.06985,0.84111,0.81793,0.85607,0.54766,1.33619,0.95687,1.465,0.0003961,0.0003961,0.0003961
124,603.293,0.79635,0.5524,1.06679,0.83085,0.80892,0.83696,0.54514,1.37137,1.01391,1.50724,0.00039115,0.00039115,0.00039115
125,608.009,0.76713,0.53999,1.07102,0.80353,0.8417,0.85472,0.54897,1.35556,1.00308,1.48904,0.0003862,0.0003862,0.0003862
126,612.75,0.75911,0.53219,1.06281,0.84443,0.7892,0.85095,0.56461,1.32032,0.94961,1.48974,0.00038125,0.00038125,0.00038125
127,617.529,0.75952,0.53456,1.06043,0.78077,0.78578,0.83713,0.54918,1.33605,1.02167,1.45327,0.0003763,0.0003763,0.0003763
128,622.302,0.75511,0.53711,1.05861,0.75587,0.78961,0.83526,0.53474,1.32453,1.05378,1.43419,0.00037135,0.00037135,0.00037135
129,627.072,0.75721,0.52744,1.05504,0.67109,0.76363,0.79074,0.5143,1.35082,1.15311,1.45033,0.0003664,0.0003664,0.0003664
130,631.841,0.80513,0.55539,1.08664,0.80399,0.67177,0.79361,0.52621,1.34832,1.17831,1.46598,0.00036145,0.00036145,0.00036145
131,636.519,0.77256,0.53399,1.0683,0.79971,0.79006,0.84737,0.55218,1.29662,0.99774,1.44872,0.0003565,0.0003565,0.0003565
132,641.126,0.78607,0.54262,1.06899,0.8047,0.8135,0.84279,0.54255,1.32731,0.97651,1.46507,0.00035155,0.00035155,0.00035155
133,645.873,0.72244,0.52474,1.05006,0.78735,0.83771,0.83957,0.5516,1.27798,0.99012,1.47318,0.0003466,0.0003466,0.0003466
